User,Movie,Rating,Comment
User1,Movie1,3,Fell short of expectations the pacing was slow at times. I wouldn't watch it again.
User1,Movie2,1,I really enjoyed the soundtrack was fantastic. Could have been better.
User1,Movie3,3,Could have been better the storyline was engaging. It was a delightful watch.
User1,Movie4,3,Would watch again the storyline was engaging. It was a delightful watch.
User1,Movie5,4,Would watch again the humor was spot on. It was a delightful watch.
User1,Movie6,1,Would watch again the ending was unexpected. It was a delightful watch.
User1,Movie7,3,I was disappointed by the pacing was slow at times. I would recommend it.
User1,Movie8,5,Not my favorite it kept me on the edge of my seat. I would recommend it.
User1,Movie9,4,Absolutely loved the visuals were stunning. It was a delightful watch.
User1,Movie10,5,Could have been better the ending was unexpected. A must-watch for everyone.
User1,Movie11,5,I really enjoyed the soundtrack was fantastic. I felt it was overrated.
User1,Movie12,2,I really enjoyed the ending was unexpected. I can't stop talking about it.
User1,Movie13,5,Fell short of expectations the soundtrack was fantastic. It left me thinking.
User1,Movie14,3,An amazing experience the ending was unexpected. A must-watch for everyone.
User1,Movie15,2,Exceeded my expectations the plot was predictable. It left me thinking.
User1,Movie16,3,Absolutely loved the pacing was slow at times. Could have been better.
User1,Movie17,1,Would watch again the ending was unexpected. I can't stop talking about it.
User1,Movie18,4,I was disappointed by the characters were well-developed. I would recommend it.
User1,Movie19,3,Exceeded my expectations the characters were well-developed. It left me thinking.
User1,Movie20,2,Not my favorite the visuals were stunning. Could have been better.
User2,Movie1,2,An amazing experience the ending was unexpected. I can't stop talking about it.
User2,Movie2,4,A masterpiece the visuals were stunning. It left me thinking.
User2,Movie3,4,Not my favorite the acting was superb. Definitely worth seeing.
User2,Movie4,5,Would watch again the ending was unexpected. Could have been better.
User2,Movie5,5,Absolutely loved the ending was unexpected. I felt it was overrated.
User2,Movie6,3,Would watch again the storyline was engaging. I can't stop talking about it.
User2,Movie7,2,I was disappointed by the acting was superb. I wouldn't watch it again.
User2,Movie8,5,I was disappointed by the humor was spot on. A must-watch for everyone.
User2,Movie9,2,I really enjoyed the ending was unexpected. Could have been better.
User2,Movie10,4,Not my favorite the pacing was slow at times. I wouldn't watch it again.
User2,Movie11,3,A masterpiece the characters were well-developed. It was a delightful watch.
User2,Movie12,5,I really enjoyed the pacing was slow at times. I would recommend it.
User2,Movie13,4,A masterpiece the soundtrack was fantastic. It was a delightful watch.
User2,Movie14,3,Would watch again the plot was predictable. I would recommend it.
User2,Movie15,1,Would watch again the pacing was slow at times. A must-watch for everyone.
User2,Movie16,5,An amazing experience the visuals were stunning. It left me thinking.
User2,Movie17,4,Could have been better the soundtrack was fantastic. I felt it was overrated.
User2,Movie18,4,Not my favorite the plot was predictable. I wouldn't watch it again.
User2,Movie19,5,Not my favorite the characters were well-developed. A must-watch for everyone.
User2,Movie20,5,Could have been better the acting was superb. I can't stop talking about it.
User3,Movie1,1,I was disappointed by the acting was superb. I wouldn't watch it again.
User3,Movie2,1,Would watch again the storyline was engaging. I can't stop talking about it.
User3,Movie3,5,Absolutely loved the ending was unexpected. Could have been better.
User3,Movie4,3,Exceeded my expectations the characters were well-developed. I felt it was overrated.
User3,Movie5,1,Fell short of expectations the characters were well-developed. I felt it was overrated.
User3,Movie6,5,Fell short of expectations the storyline was engaging. It left me thinking.
User3,Movie7,2,Fell short of expectations the ending was unexpected. Could have been better.
